Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.4,-71.8,0.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.59,-65.85,90.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.25,-50.7,0.0,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.05,-59.84,180.0,top
D1,LED_Small,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.46875,-79.31,0.0,top
D2,D_Schottky,D_SMA,136.30625,-78.57,180.0,top
R1,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-67.781075,180.0,top
R10,4K3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.25,-52.0,0.0,top
R11,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.44625,-76.75,0.0,top
R2,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.5,-71.781075,180.0,top
R3,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.84,-52.01,-90.0,top
R4,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.5,-63.781075,0.0,top
R5,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.5,-59.781075,0.0,top
R6,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.5,-55.781075,0.0,top
R7,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-55.781075,180.0,top
R8,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.6,-59.7,0.0,top
R9,14K6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.5,-55.781075,180.0,top
U1,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,148.67,-69.66,0.0,top
U2,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,148.51,-63.54,0.0,top
U3,LTC1799,SOT-23-5,149.4,-54.8,0.0,top
